date,latitude,longitude,wind_speed,central_pressure,basin
2020-12-04 06:00:00,-8.50000,105.700,20,1002,SI
2022-02-02 15:00:00,-18.9149,56.3622, , ,SI
2020-08-25 21:00:00,31.8468,124.594, , ,WP
2022-04-25 12:00:00,-21.1000,40.8000, , ,SI
2021-06-27 00:00:00,29.9467,141.393,40,996,WP
2020-12-19 12:00:00,9.83333,118.500, ,1004,WP
2021-11-09 09:00:00,8.81997,87.6874, , ,NI
2022-10-16 15:00:00,19.7651,118.292, , ,WP
2020-08-29 09:00:00,19.7425,-114.907, , ,EP
2023-02-19 06:00:00,-17.0000,65.7000, , ,SI
2020-10-12 15:00:00,18.0960,114.100, , ,WP
2022-03-16 18:00:00,-20.0000,92.5000,40,995,SI
2021-07-19 18:00:00,16.2000,-132.800,55,1000,EP
2023-06-07 15:00:00,13.7601,66.1276, , ,NI
2022-10-03 03:00:00,36.8085,158.551, , ,WP
2024-01-18 21:00:00,-12.3150,92.9550, , ,SI
2024-03-12 09:00:00,-13.1827,106.819, , ,SI
2021-03-08 18:00:00,-27.6429,63.1571,35,1001,SI
2022-08-14 09:00:00,42.1446,148.086, , ,WP
2022-12-19 03:00:00,-12.3425,93.4150, , ,SI
2021-11-03 00:00:00,8.60000,-85.4000,25,1008,EP
2022-03-26 12:00:00,-17.2000,74.7000, , ,SI
2022-10-28 00:00:00,12.1000,128.400, , ,WP
2020-09-26 21:00:00,20.3435,159.192, , ,WP
2024-03-27 06:00:00,-13.0000,49.6000, , ,SI
2020-09-07 12:00:00,39.9833,128.875,45,975,WP
2022-10-04 03:00:00,16.6075,-112.343, , ,EP
2022-04-01 18:00:00,-19.2000,84.3000, , ,SI
2021-01-22 00:00:00,-13.0500,97.4500,40,994,SI
2023-06-15 00:00:00,22.6000,66.8000, , ,NI
2021-10-25 21:00:00,19.0600,138.449, , ,WP
2020-10-14 00:00:00,20.5000,-112.200,35,1005,EP
2023-05-20 15:00:00,-10.0675,69.2298, , ,SI
2023-06-10 15:00:00,21.3124,130.678, , ,WP
2021-06-11 15:00:00,17.9994,111.647, , ,WP
2022-10-22 03:00:00,20.0200,119.350, , ,WP
2020-11-04 12:00:00,16.2000,-119.100,40,1003,EP
2024-02-23 21:00:00,-23.9162,58.2196, , ,SI
2022-02-26 03:00:00,-13.1162,127.522, , ,SI
2021-04-07 00:00:00,-16.3500,105.600,35,995,SI
2023-06-11 18:00:00,19.1000,67.8000, , ,NI
2022-03-30 09:00:00,-19.7425,82.2149, , ,SI
2021-10-04 21:00:00,59.4609,172.422, , ,WP
2023-08-04 18:00:00,13.8000,232.300, , ,EP
2022-03-03 09:00:00,-10.3484,113.014, , ,SI
2021-12-20 18:00:00,19.8500,112.850, ,1006,WP
2023-11-05 12:00:00,10.6273,-112.682, , ,EP
